Longitude,Latitude,CNTY_NM,
-95.43051,32.03929,Anderson,"(-95.4305100039999, 32.039289999)"
-95.43085,32.03938,Anderson,"(-95.4308499979999, 32.039379997)"
-95.43097,32.03942,Anderson,"(-95.4309699979999, 32.039420003)"
-95.43121,32.03948,Anderson,"(-95.4312100029999, 32.039480002)"
-95.43135,32.03952,Anderson,"(-95.4313500009999, 32.039519998)"
-95.43142,32.03954,Anderson,"(-95.4314199999999, 32.039540002)"
-95.43149,32.03959,Anderson,"(-95.4314900029999, 32.039590001)"
-95.4318,32.03977,Anderson,"(-95.4318000019999, 32.039769997)"
-95.43228,32.04000999,Anderson,"(-95.4322800009999, 32.040009994)"
-95.43252,32.04012,Anderson,"(-95.4325200019999, 32.040120001)"
-95.43262,32.04017,Anderson,"(-95.4326200019999, 32.040169999)"
-95.43275,32.04021,Anderson,"(-95.4327499969999, 32.040209998)"
-95.43307,32.04032,Anderson,"(-95.4330700009999, 32.040320001)"
-95.43332,32.04034,Anderson,"(-95.4333200019999, 32.040340004)"
-95.43344,32.04036,Anderson,"(-95.4334399969999, 32.04036)"
-95.43383,32.04038,Anderson,"(-95.4338299969999, 32.040380002)"
-95.43391,32.04038,Anderson,"(-95.4339099989999, 32.04038)"
-95.43408,32.04038,Anderson,"(-95.4340800009999, 32.040380001)"
-95.43443,32.04034,Anderson,"(-95.4344300039999, 32.040340001)"
-95.43493,32.04025,Anderson,"(-95.4349299979999, 32.04025)"
-95.43503,32.04022,Anderson,"(-95.4350300039999, 32.040219995)"
-95.43512,32.04018,Anderson,"(-95.4351200039999, 32.04018)"
-95.43529,32.04013,Anderson,"(-95.4352900019999, 32.040130001)"
-95.43556,32.04006,Anderson,"(-95.4355599979999, 32.040060003)"
-95.43568,32.04001,Anderson,"(-95.4356799979999, 32.040010002)"
-95.43578,32.03997,Anderson,"(-95.4357799959999, 32.039970001)"
-95.43597,32.03986,Anderson,"(-95.4359699989999, 32.039860003)"
-95.43603,32.03982,Anderson,"(-95.4360300029999, 32.039820001)"
-95.43614,32.03967,Anderson,"(-95.4361400039999, 32.039669997)"
-95.43618,32.03955,Anderson,"(-95.4361800009999, 32.039549999)"
-95.43621,32.03932,Anderson,"(-95.4362099989999, 32.03932)"
-95.43619,32.03924,Anderson,"(-95.4361899989999, 32.03924)"
-95.43608,32.03911,Anderson,"(-95.4360800039999, 32.039110003)"
-95.43599,32.03904,Anderson,"(-95.4359900049999, 32.039040001)"
-95.43575,32.03878,Anderson,"(-95.4357499999999, 32.038780004)"
-95.4355,32.03848001,Anderson,"(-95.4354999979999, 32.038480005)"
